software	linesOfCode	details	notes	source1	sourceLink	source2
ROOT software (at the LHC)	3500000		ROOT, a software program used by CERN's physicists to store, analyze, and visualize petabytes of data about the LHC experiment	Coverity	http://www.coverity.com/company/press-releases/read/cern-chooses-coverity-to-ensure-accuracy-of-large-hadron-collider-software-html	
Photoshop CS 6 (2012)	4500000			PC World	http://www.pcworld.com/article/2028315/computer-history-museum-shares-original-photoshop-code.html	http://scottkelby.com/2012/photoshop-cs6-from-the-inside/
Windows NT 3.1 (1993)	4500000	operating system		Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
HD DVD Players on XBox	4700000			Microsoft Blog	http://blogs.msdn.com/b/xboxteam/archive/2006/11/03/emergence-day.aspx	
HealthCare.gov - needed to repair	5000000	website	"Obamacare online enrollment system might actually need 5 million lines of code to be rewritten just to repair the problems encountered on the site"	Examiner	http://www.examiner.com/article/code-blue-obamacare-online-system-needs-massive-re-write-to-work?cid=rss	
Mars Curiosity Rover	5000000			Slashdot	http://slashdot.org/topic/bi/mars-rover-curiosity-less-brainpower-than-apples-iphone-5/	
Linux kernel 2.6.0 (2003)	5200000	operating system	only wiki source	Wikipedia	http://en.wikipedia.org/wiki/Source_lines_of_code	
Google Chrome (estimate 2) (2011)	5400000	browser			http://www.quora.com/Google-Chrome/How-many-lines-of-code-is-Google-Chrome	
World of WarCraft (Server)	5500000	game		GamesspotUK	http://uk.gamespot.com/news/blizzard-outlines-massive-effort-behind-world-of-warcraft-6228615	
Windows XP Service Pack 1	6100000			Microsoft Blog	https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&ved=0CH4QFjAJ&url=https%3A%2F%2Fblogs.msdn.com%2Fcfs-filesystemfile.ashx%2F__key%2Fcommunityserver-components-postattachments%2F00-01-37-62-23%2FAPSECVer4.doc&ei=EvprUvHPEYnX7Abo6oGYBA&usg=AFQjCNHfjdSfZAYMsMFoMKy1eSk482RKeA&sig2=J2mxvNHzAqVdA8SX3XPAsQ&bvm=bv.55123115,d.ZGU&cad=rja	
Boeing 787	6500000		Avionics and online support systems	Coverity inforgraphic	http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/	
Google Chrome	6700000	browser	6677875	Ohloh	http://www.ohloh.net/p/chrome/analyses/latest/languages_summary	
Windows NT 3.5 (1994)	7500000	increase in code relative to previous version: 166%		Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
Windows NT 3.51 (1995)	9500000	operating system		Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
Firefox	9700000	browser		Ohloh	http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary	
Chevy Volt (electric car)	10000000			Coverity inforgraphic, SmartPlanet	http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/	http://www.smartplanet.com/blog/smart-takes/gms-volt-10-million-lines-of-code/12006
